주_도_성,국가_지역,위도,경도,발생일시,확진자,사망자,완치자,격리중,WHO보건지역,cluster,c
,Togo,8.6195,0.8248,2020-07-27,874,18,607,249,Africa,0,red
,Trinidad and Tobago,10.6918,-61.2225,2020-07-27,148,8,128,12,Americas,0,red
,Tunisia,33.886917,9.537499,2020-07-27,1455,50,1157,248,Eastern Mediterranean,0,red
,Turkey,38.9637,35.2433,2020-07-27,227019,5630,210469,10920,Europe,1,blue
,Uganda,1.373333,32.290275,2020-07-27,1128,2,986,140,Africa,1,blue
,Ukraine,48.3794,31.1656,2020-07-27,67096,1636,37202,28258,Europe,1,blue
,United Arab Emirates,23.424076,53.847818,2020-07-27,59177,345,52510,6322,Eastern Mediterranean,1,blue
Bermuda,United Kingdom,32.3078,-64.7505,2020-07-27,154,9,141,4,Europe,0,red
Cayman Islands,United Kingdom,19.3133,-81.2546,2020-07-27,203,1,202,0,Europe,0,red
Channel Islands,United Kingdom,49.3723,-2.3644,2020-07-27,584,47,533,4,Europe,0,red
Gibraltar,United Kingdom,36.1408,-5.3536,2020-07-27,185,0,180,5,Europe,0,red
Isle of Man,United Kingdom,54.2361,-4.5481,2020-07-27,336,24,312,0,Europe,0,red
Montserrat,United Kingdom,16.742498,-62.187366,2020-07-27,12,1,10,1,Europe,0,red
,United Kingdom,55.3781,-3.4360000000000004,2020-07-27,300111,45759,0,254352,Europe,0,red
,Uruguay,-32.5228,-55.7658,2020-07-27,1202,35,951,216,Americas,0,red
,US,40.0,-100.0,2020-07-27,4290259,148011,1325804,2816444,Americas,2,green
,Uzbekistan,41.377491,64.585262,2020-07-27,21209,121,11674,9414,Europe,1,blue
,Venezuela,6.4238,-66.5897,2020-07-27,15988,146,9959,5883,Americas,0,red
,Vietnam,14.058324,108.277199,2020-07-27,431,0,365,66,Western Pacific,1,blue
,Zambia,-13.133897,27.849332,2020-07-27,4552,140,2815,1597,Africa,1,blue
,Zimbabwe,-19.015438,29.154857,2020-07-27,2704,36,542,2126,Africa,1,blue
,Dominica,15.415,-61.371,2020-07-27,18,0,18,0,Americas,0,red
,Grenada,12.1165,-61.679,2020-07-27,23,0,23,0,Americas,0,red
,Mozambique,-18.665695,35.529562,2020-07-27,1701,11,0,1690,Africa,1,blue
,Syria,34.802075,38.99681500000001,2020-07-27,674,40,0,634,Eastern Mediterranean,1,blue
,Timor-Leste,-8.874217,125.727539,2020-07-27,24,0,0,24,South-East Asia,1,blue
,Belize,17.1899,-88.4976,2020-07-27,48,2,26,20,Americas,0,red
,Laos,19.85627,102.495496,2020-07-27,20,0,19,1,Western Pacific,1,blue
,Libya,26.3351,17.228331,2020-07-27,2827,64,577,2186,Eastern Mediterranean,0,red
